sbu name, number of mofs built from it
connector_1357, 1
connector_1358, 1
connector_1359, 3
connector_1360, 1
connector_1361, 1
connector_1362, 2
connector_1363, 1
connector_1364, 2
connector_1365, 1
connector_1366, 1
connector_1367, 1
connector_1368, 2
connector_1369, 1
connector_1370, 7
connector_1371, 2
connector_1372, 1
connector_1373, 2
connector_1374, 2
connector_1375, 1
connector_1376, 3
connector_1377, 1
connector_1378, 6
connector_1379, 1
connector_1380, 1
connector_1381, 1
connector_1382, 1
connector_1383, 1
connector_1384, 1
connector_1385, 12
connector_1386, 3
connector_1387, 1
connector_1388, 2
connector_1389, 1
connector_1390, 1
connector_1391, 2
connector_1392, 2
connector_1393, 3
connector_1394, 1
connector_1395, 1
connector_1396, 2
connector_1397, 4
connector_1398, 1
connector_1399, 1
connector_1400, 4
connector_1401, 1
connector_1402, 1
connector_1403, 1
connector_1404, 1
connector_1405, 1
connector_1406, 3
connector_1407, 1
connector_1408, 1
connector_1409, 1
connector_1410, 1
connector_1411, 1
connector_1412, 3
connector_1413, 1
connector_1414, 1
connector_1415, 2
connector_1416, 1
connector_1417, 1
connector_1418, 1
connector_1419, 5
connector_1420, 1
connector_1421, 1
connector_1422, 1
connector_1423, 3
connector_1424, 2
connector_1425, 1
connector_1426, 1
connector_1427, 6
connector_1428, 2
connector_1429, 2
connector_1430, 1
connector_1431, 8
connector_1432, 2
connector_1433, 1
connector_1434, 1
connector_1435, 1
connector_1436, 1
connector_1437, 7
connector_1438, 1
connector_1439, 2
connector_1440, 1
connector_1441, 1
connector_1442, 2
connector_1443, 2
connector_1444, 1
connector_1445, 1
connector_1446, 2
connector_1447, 1
connector_1448, 2
connector_1449, 1
connector_1450, 1
connector_1451, 1
connector_1452, 1
connector_1453, 3
connector_1454, 1
connector_1455, 1
connector_1456, 1
connector_1457, 1
connector_1458, 1
connector_1459, 2
connector_1460, 1
connector_1461, 1
connector_1462, 2
connector_1463, 3
connector_1464, 1
connector_1465, 1
connector_1466, 1
connector_1467, 1
connector_1468, 1
connector_1469, 3
connector_1470, 1
connector_1471, 1
connector_1472, 1
connector_1473, 2
connector_1474, 1
connector_1475, 1
connector_1476, 2
connector_1477, 1
connector_1478, 1
connector_1479, 2
connector_1480, 1
connector_1481, 1
connector_1482, 2
connector_1483, 1
connector_1484, 1
connector_1485, 1
connector_1486, 2
connector_1487, 1
connector_1488, 1
connector_1489, 8
connector_1490, 1
connector_1491, 3
connector_1492, 1
connector_1493, 1
connector_1494, 1
connector_1495, 1
connector_1496, 1
connector_1497, 1
connector_1498, 2
connector_1499, 1
connector_1500, 1
connector_1501, 1
connector_1502, 1
connector_1503, 1
connector_1504, 1
connector_1505, 1
connector_1506, 1
connector_1507, 1
connector_1508, 4
connector_1509, 1
connector_1510, 1
connector_1511, 1
connector_1512, 1
connector_1513, 1
connector_1514, 4
