mof label, metal(s)
XAPCOJ06_clean, V-O(H)-V
XAPCOJ07_clean, V-O(H)-V
XAPCOJ_clean, V-O(H)-V
XAXQEU_SL, In-O(H)-In
XENMIO_SL, Zn-O(H)-Zn
XENMOU_SL, Zn-O(H)-Zn
XEZRIF_clean, Sr-O(H)-Sr
XICYEP_SL, Hf-O(H)-Hf
XICYIT_SL, Zr-O(H)-Zr
XOFPEP01_clean, U-O(H)-U
XOKHAH_clean, Zn-O(H)-Zn
XOLYUS_clean, Co-O(H)-Co
XOMCIN_clean, Ni-O(H)-Ni
XOQXOR_SL, Zn-O(H)-Zn
XOVXAI_clean, Co-O(H)-Co
XOVXEM_clean, Cd-O(H)-Cd
XOVYIR_clean, Mn-O(H)-Mn
XUMVOS_clean, Ba-O(H)-Ba
XUPSAE_clean, Al-O(H)-Al
YAGRON_clean, Ga-O(H)-Ga
YAXBOP_SL, Fe-O(H)-Fe
YEKQOW_clean, Zn-O(H)-Zn
YEYFEP_clean, Ho-O(H)-Ho
YIXYUB_clean, Cd-O(H)-Cd
YIXZEM_clean, Cd-O(H)-Cd
YOCCIE_clean, Zn-O(H)-Zn
YONNAR_clean, Zn-O(H)-Zn
YORZAH_clean, Sr-O(H)-Sr
YOTRUW_clean, Ba-O(H)-Ba
YOTSAD_clean, Ba-O(H)-Ba
YUBGIN_clean, U-O(H)-U
YUBGUZ_clean, U-O(H)-U
YUFLIW_clean, Mg-O(H)-Mg
YUJNIB_clean, Sr-O(H)-Sr
YULNOK_clean, Cu-O(H)-Cu
YUMJAS_clean, Mo-O(H)-Mo
YUNJEX_clean, Cu-O(H)-Cu
YUNJIB_clean, Cu-O(H)-Cu
